,평점,리뷰
1074,5,"계속눈팅만하다드뎌그매한아이템~
넘넘맘에듭니다!
발볼이좁은편이라저는정사이즈로시켰는데딱이네요~
발볼있으신분은정사이즈가어떨까싶긴해요"
1075,4,"장점 : 생각했던 그대로입니다
단점 : 미끄러워요ㅠㅠ 현재 신고 있는 신발중에 제일 미끄러움ㅠㅠ"
1076,5,좋아요. 항상 저렴한 가격에 믿고 구매하는 쓱~~~
1077,4,처음에 상품에 문제가 있어서 교환신청했는데 잘 도착했습니다.
1078,3,"리뷰 보고 고민많이하고  샀는데
매장에서 착화하신거 보내주신듯하네요 ,,,,, 
바닥부터봤는데 좀 그르네요
검수 꼼꼼히 해서 보내달라고 요청까지 드렸는데"
1079,4,반사이즈업은 필수네요 품질은 자잘한 하자(신발끈에 끈끈이묻음. 신발뒷축에 검댕이 묻음)있지만 그냥 신기로했네요 신발은 이뻐요~
1080,5,저렴하게 구입하고 이뻐요~
1081,5,올 블랙 운동화가 갖고 싶어서 찾던중 발견한 운동화라ㅎㅎㅎ대만족!!!치마 바지 다 잘 어울리고 발이 작아보여서 너무 좋아요ㅎㅎㅎ
1082,5,처음 하자있는 신발이 와서 한번 교환...교환한 상품은 좋은 제품으로 잘 보내주셨어요 블랙 사고 맘에 들어서 흰색도 구매한거라ㅎㅎ약간 타이트하긴 하지만 신으면 늘어나니ㅎㅎㅎ발이 작아보여서 너무 좋아요!!!!
1083,4,이쁩니다~!!역시 트리플화이트에요 ㅎ
1084,5,좋앙ㆍ요잘신고있어요오
1085,5,"완전 싸게 잘샀어요 다행히 사이즈가 있어서 ㅋ
대만독"
1086,5,퀄리티좋구 전반상태좋습니다
1087,5,좋앙ㆍ요잘신고있어요오
1088,5,"아주좋은 상태로 왔습니다.
사이즈 정사이즈 굿!"
1089,5,칼발 225~230 신는 딸아이 230사이즈 잘 맞아요
1090,5,예뻐요 배송도 빠르네요
1091,5,"완전 싸게 잘샀어요 다행히 사이즈가 있어서 ㅋ
대만독"
1092,5,퀄리티좋구 전반상태좋습니다
1093,5,"본사이즈보다 반사이즈 업하세요.
정사이즈로 구입하면 작아요"
1094,5,"예뻐요~
백화점에서 신어보고 사려고했는데 재고가 없어서 주문해야한다고 하네요. 
그래서 백화점에서 안 사고 신세계몰에서 찾아보고 주문했어요~ 백화점보다 만원 더 저렴하게 샀어요^^ 배송도 이틀만에 오고~ 상품과 배송 모두 만족합니다."
1095,5,"예뻐요~
백화점에서 신어보고 사려고했는데 재고가 없어서 주문해야한다고 하네요. 
그래서 백화점에서 안 사고 신세계몰에서 찾아보고 주문했어요~ 백화점보다 만원 더 저렴하게 샀어요^^ 배송도 이틀만에 오고~ 상품과 배송 모두 만족합니다."
1096,5,"신발끈 오염이 살짝 있었지만, 미리 공지 및
빠른 조치 감사합니다 여긴 정성 찐 입니다"
1097,5,좋은제품 감사합니다
1098,5,배송이 빠르고 많이 할인된 가격에 사서 좋아요
1099,5,아주가벼워서 넘좋아요
1100,5,사이즈 반업 추천드립니다
1101,5,사이즈 반업 추천드립니다
1102,5,에뻐요. 고 1 딸아이가 좋아합니다
1103,4,여기저기알아보다.고심끝에구매했네요.세일해서착한가격으로구매하고..세일기간되면 또 구매하고싶어요
1104,3,동생꺼 신어보고 너무편해서 구매했어요. 마음에들고 너무 이뻐요.
1105,5,사진만큼 예뻐요! 맘에들어용
1106,5,좋은제품으로 보내주셨어요~~감사합니다^^
1107,5,크리스마스 선물로 준비했는데 너무좋아해요. 이뻐요
1108,5,만족해요~기본이라 무난하게 신을것같아요.더러워지기전에 하나 더 쟁여놓을꺼에요^^
1109,5,"가볍고 키높이 효과도 있어 여러모로 신기 좋아요.
가격이 좀 세지만 SSG신용카드 만드면서 할인 많이 받았어요. 남편 것도 사려구요~"
1110,5,배송빠르고물건도좋앙요
1111,5,"가볍고 키높이 효과도 있어 여러모로 신기 좋아요.
가격이 좀 세지만 SSG신용카드 만드면서 할인 많이 받았어요. 남편 것도 사려구요~"
1112,5,배송빠르고물건도좋앙요
1113,5,크리스마스 선물로 준비했는데 너무좋아해요. 이뻐요
1114,5,만족해요~기본이라 무난하게 신을것같아요.더러워지기전에 하나 더 쟁여놓을꺼에요^^
1115,5,생각보다 색깔이 밝네요~~
1116,5,생각보다 색깔이 밝네요~~
1117,5,잘 받았습니다~ 잘 받았습니다.
1118,5,좋은가격에 구매했어요~~^^
1119,5,보통 235 로 신는데 후기들 살펴보고 작다는 말이 많아서240으로 구매햇어여 발볼 있는편이구 딱 맞는 사이즈에여실물 존예입니다ㅜ
1120,5,좋은가격에 구매했어요~~^^
1121,5,트리플화이트를 가지고 있는데 트리플블랙도 보고 꽂혀서 샀어요 ㅋㅋ본드자국같은건 좀 맘에 안들지만 그래도 엄청 거슬리는건 아니라서 그냥 신을라구요
1122,5,잘 받았습니다~ 잘 받았습니다.
1123,5,"잘신고있습니다.
너무 만족스럽네요"
1124,5,"고등학생 딸애 선물로 구매했습니다. 235라서 아동용에도 사이즈가 있었지만, 아동용은 작게 나왔다고 해서 우먼으로 235사이즈 구매했습니다. 사이즈도 잘맞고 푹신하고 많이 무겁지 않아 좋아요. 핏이 너무 예쁩니다.빠른배송 감사합니다."
1125,5,역시 나이키입니다. 디자인도 세련되고 날씬해보이고 편합니다.
1126,3,가볍고 착화감 편해요~ 바닥이 좀 미끄럽네요ㅠ
1127,5,"좋아요
키엘수분크림은 진짜굿"
1128,5,"잘신고있습니다.
너무 만족스럽네요"
1129,5,"잘신고있습니다.
너무 만족스럽네요"
1130,5,발볼 넓으신분은 한사이즈 크게 주문하세요
1131,5,"발등이 높은 편인데 편하게 잘 맞습니다.
가볍고 이뻐요."
1132,4,빠른 배송 감사합니다. 약간의 오염이 있어서 살짝 아쉽네요.
1133,5,싸게 잘 선택한것같아요
1134,5,"좋아요
키엘수분크림은 진짜굿"
1135,5,"잘신고있습니다.
너무 만족스럽네요"
1136,5,좋아요 만족합니다 ~~
1137,4,"사이즈 작게나왔다는 후기 많아서 걱정 했는데
괜찮구요.  정사이즈네요. 
아직 신어보진 않았어요.
발도 작아보이고 쿠션감 좋구요.  
주문하고 다음에 세일 해서 아쉬웠어요ㅜㅜ"
1138,2,"역시나 실밥이 절단되잇고 오염이 잇네오
불량은 아니라니 그냥 신겟지만 기분은 썩"
1139,5,상품평보고 반사이즈 크게샀어요 발볼이 넓어서 정사이즈삿으면 불편했을듯요
1140,5,좋아요 만족합니다 ~~
1141,5,올나가거나 그런 부분이 좀 많이요
1142,5,발볼약하신 분은 정사이즈 하시면 되고 발볼넓으신분은 불편할거같아요 저는 완전 앙상한 ^^ 발이라서 사이즈 딱좋아요 뒷꿈치는 약간 벗겨지는듯 해서 끈 꽉맸어요~
1143,5,"화이트 있는데
겨울에는 화이트 못신으니까
겨울용으로  블랙 구입했는데
역시 97 입니다"
1144,5,아주마음에듭니다ㅡ반사이즈 업하니 딱이네요
1145,5,살짝 작은느낌ㅇ 있는데 괜찮아요
1146,5,"230~235신는데
240이 맞네요
진짜 발볼이 좁게 나왔어요"
1147,5,아주마음에듭니다ㅡ반사이즈 업하니 딱이네요
1148,5,정사이즈가 맞네요. 전체적으로 깔끔합니다. 다만 에어쪽 고무쪽이 아예 깔끔하진않은거같아요. 아직 신어보진 않았지만 외관은 맘에 듭니다
1149,1,누가 신던 신발을 깨끗이 닦아서 받은 느낌. 깔창도 그렇고 신발 바닥에 착용 흔적이 많아요. 알콜로 왕창 소독해서 신으려구요.
1150,4,"원래 나이키 운동화 270을 신는데, 이 모델은 약간 타이트하게 나왔습니다
모델마다 디자인차이 등으로인해 약간씩 사이즈 작거나 여유가있긴한데, 전체적으로 신발이 좀 단단해서 더욱 타이트한 느낌이 드는거같네요
사이즈가 없어서 아쉽게도 반사이즈크게 못샀지만... 웬만하면 반사이즈 업하는게 좋을듯합니다. 겨울이라 도톰한 양말 신을라치면 백퍼 반사이즈 업하는게 답입니다"
1151,4,상대적으로 저렴하게 잘 구입한거 같아요
1152,5,"저렴하게 잘 샀어요
운동용으로 ^^+"
1153,1,"선물용으로 구매한건데 겉에 포장이 새 제품처럼 보이게 해서 좋았는데 선물한 분한테 들어보니 약간 크다고 해서 사진찍어 보내달라 하니 텍 안의 사이즈도 다르고 상자 사이즈도 다름
이미 신어 버려서 그냥 구매 확정하고 리뷰를 남기는거지만
선물한 분한테도 당황 스럽고 저도 어이없네요....
하자면 하자지 225사이즈를 구매했는데 상품은 230이라니
물건을 사서 뜯어서 줄순 없으니 선물용 구매는 이제 그만할듯 합니다"
1154,5,상품 품질도 괜찮고 잘 신겠습니다
1155,5,"음,,뭔가 들어가는 입구는 작은데 신으면 또 발사이즈는 커요..ㅎㅎ"
1156,5,"신랑이 생일선물로 사줬어요.
여름에 트리플화이트 사고 예쁘고 좋아서 트리플블랙 눈여겨보고 있었는데 할인쿠폰으로 할인받아서 잘샀어요. 겨울이라 트리플블랙이 더예뻐보여요.."
1157,5,후기에 조금 사이즈가 작다했는데 평소 240신는데  처음에 조금 작은 듯. . .몇 번 신으니 괜찮아요. .
1158,5,예쁘게 잘 신고 있어요!
1159,5,상품받고 너무 예뻐서 딸꺼랑 아들것도 주문했습니다.
1160,5,운동화 싣고 예쁜적은 처음 입니다. 딸이랑 커플로 구매했어요
1161,5,배송도빠르고 상품도좋은것 같은데? 정품인지 아닌지가 궁금 하네요 약간은 의심 가는 부분이 있어서 나이키 매장에서 확인해 봐야 할듯~
1162,5,예뻐요! 잘 신을 것 같아요
1163,5,여자친구 선물로 줬습니다 만족합니다
1164,4,5미리 크게 사라고 해서 정사이즈보다 크게 샀는데 생각보다 널널하다고 하네요. 다음엔 정사이즈 그냥 가야겠어요.
1165,4,원래사이즈로 주문했는데 다행히 맞네요
1166,5,예쁘게 잘 신고 있어요!
1167,5,"쿠폰으로 할인받아서 잘 샀네요..
여친 선물 주려고 보냈는데 너무 좋아합니다.. 
올검으로 못사서 조금 아쉽긴 하지만.. 배송도 빠르게 너무 잘 갔네요 ㅎㅎ"
1168,5,배송도 빠르게 오고 제품도 이상없네요
1169,5,"할인할때 타이밍잘맞아서 잘삿어요!!
생일선물로 삿는데 아주맘에들어용ㅋ
나이키신발 베이퍼맥스 플라이니트제품만
반사이즈업햇고 나머지나이키는 다정사이즈에요
이것도 장시이즈삿더니 잘맞아요-
마감퀄리티도 나쁘진않지만, 완벽하진않아요ㅋㅋ
양쪽모양더 살짝다르기도해요,
근ㄷㅔ 그건백화점에 직접가서사도 마찬가지
배송은느렸지만 깨끗한신발 저렴하게 잘받아서 만족합니당!"
1170,5,"쿠폰으로 할인받아서 잘 샀네요..
여친 선물 주려고 보냈는데 너무 좋아합니다.. 
올검으로 못사서 조금 아쉽긴 하지만.. 배송도 빠르게 너무 잘 갔네요 ㅎㅎ"
1171,5,저는 마른 칼발이여 정사이즈로 주문했는데 괜찮았어요 발에 살 없는 분은 그냥 정사이즈로 가세요 ㅎ
1172,5,저는 마른 칼발이여 정사이즈로 주문했는데 괜찮았어요 발에 살 없는 분은 그냥 정사이즈로 가세요 ㅎ
1173,5,"할인할때 타이밍잘맞아서 잘삿어요!!
생일선물로 삿는데 아주맘에들어용ㅋ
나이키신발 베이퍼맥스 플라이니트제품만
반사이즈업햇고 나머지나이키는 다정사이즈에요
이것도 장시이즈삿더니 잘맞아요-
마감퀄리티도 나쁘진않지만, 완벽하진않아요ㅋㅋ
양쪽모양더 살짝다르기도해요,
근ㄷㅔ 그건백화점에 직접가서사도 마찬가지
배송은느렸지만 깨끗한신발 저렴하게 잘받아서 만족합니당!"
1174,5,신발 편하고 하얀색이 심플하게 이뻐요:)
1175,5,처음 불량 제품이 왔는데 신속하게 교환해주셔서 좋았어요
1176,5,배송 빠르구요 상품도 만족스럽습니다
1177,5,"리뷰중 불만족 리뷰가 있어서 염려했는데 포장도ㄱ제품도 아주 만족합니다
저렴하게 잘 샀어요 ^^"
1178,5,저렴하게 구매해서 너무 만족스럽습니다. 발볼이 없는편인데도 딱 맞는거 보니 폭이 여유있게 나오진 않은것 같습니다. 평소사이즈대로 주문하였는데 딱 좋습니다.
1179,5,만족합니다.만족합니다.
1180,5,신발 편하고 하얀색이 심플하게 이뻐요:)
1181,5,세일하길래 바로샀어요 발볼 넓은 250인데 250 딱맞아요 넘 잘신고있어요
1182,5,세일하길래 바로샀어요 발볼 넓은 250인데 250 딱맞아요 넘 잘신고있어요
1183,5,에어97  너무 편하고 잘 신고 있어요
1184,5,너무 마음에 들어요! 추천합니다. 진짜 싸게 잘샀어요ㅎㅎ 예뻐요
1185,5,"제품은 맘에들어요.
235신는데 정사이즈시켰더니 볼이좀 끼는 느낌 이에요
양말신고 끈 좀 헐겁게 묶어서 신으려구요.늘어나겠죠?
그리고 이쁩니다"
1186,5,"사이즈250신는데 정사이즈구요
걱정했는데 깨끗한걸로왔어요.역시나97예쁘네요"
1187,5,225사이즈 딱 맞습니다. 원하던 신발을 착한 가격에 잘 샀습니다^^
1188,5,"할인으로 가성비 너무 좋아졌네요.  발볼은 약간 좁은 편이고, 굽 높이는 약간 있는 편입니다."
1189,5,"좋아요 넘 이뻐요
사이즈 작게나온거 맞네요 반사이즈 업하니 딱이에오"
1190,4,"배송 빠르고 좋은데
왼쪽오른쪽 볼차이가 좀 심하게 나요
왼쪽이 많이 좁고 오른쪽은 괜찮고
나이키 로고가 한쪽은 아래로 붙어있고 한쪽은 정상이네요
그래도 저렴하게 잘 구매했어요"
1191,5,"누가 신어본것같은게 와서 실망스러웠는데
교환받기귀찮아 그냥 신습니다.
마감도 정품이 맞신싶은데 후기보니 다 그런가봐요.
작게나와신을땐 불편하지만 신으니 예쁘니다.
230~235신어서 235를 주문했는데도 꽉 끼네요.
230샀음 못 신을뻔했어요."
1192,5,"발볼있는.구두는 235신고 운동화 230신는데 정사이즈 230잘맞아요. 발도 편하구요.
그런데 맨발로 신으면 발안쪽 윗부분이 좀 아파요.
쓸려서."
1193,5,에어97  너무 편하고 잘 신고 있어요
1194,5,"발볼있는.구두는 235신고 운동화 230신는데 정사이즈 230잘맞아요. 발도 편하구요.
그런데 맨발로 신으면 발안쪽 윗부분이 좀 아파요.
쓸려서."
1195,5,박스도 비닐로 쌓여 있어서 너무 좋았어요^^ 신발도 너무 예뻐요ㅎㅎ
1196,4,정사이즈 입니다. 화면과 같습니다.
1197,5,디자인이 우주맘에들어요 주문시 곤그데로 색상도 예쁘고 넝수예쁨
1198,5,예쁘게 잘 신을기오
1199,5,"에어맥스 97 블랙도 있는데
매장에서 화이트신어보고
이뻐서 핫딜떴길래 구매했어요
넘 이뻐요~"
1200,5,발 볼이 작다는 의견이 있어 사이즈 고민하다 정사이즈 주문했는데 잘 맞네요. 오히려 뒷꿈치는 살짝 헐렁거려요.
1201,5,좋아요~한사이즈크게 주문했네요
1202,3,가격대비 별로예요 실물보고 살걸 후회해요
1203,5,발이 편하고 디자인 이쁘고 볼이 갸름하게 잘빠졌네요 굿굿!!
1204,5,저렴한 가격에 잘샀어요
1205,5,잘 신고 다니고 있습니다.
1206,3,마감처리가 좀 어색하네요.
1207,5,"배송이 빨라서 너무 좋았어요. 포장도 박스안에 비닐포장 그리고 신발박스로 포장되어있어 뭔가 안심됬어요
사이즈는 정사이즈에요 다른치수도 들어오면 좋겠어욤"
1208,5,세일할 때 저렴하게 잘 샀어요~~
1209,5,에어맥스 이쁘네요~~
1210,5,좋아요..좋아요..ㅈ
1211,5,좋아요~한사이즈크게 주문했네요
1212,5,세일할 때 저렴하게 잘 샀어요~~
1213,5,에어맥스 이쁘네요~~
1214,5,좋아요..좋아요..ㅈ
1215,5,잘 받았습니다 만족합니다 굿 . .^^~
1216,5,"정사이즈입니다.
백화점제품을 저렴하게 구입해서 좋아요.
착화감도 나쁘지 않아요."
1217,5,나이키운동화 너무 좋아요
1218,5,아주 배송빠르고 ㅈㅓ렴하게싯아영
1219,5,잘 받았습니다 만족합니다 굿
1220,5,운동화 편하고 너무 예뻐요.
1221,5,저렴하게 잘 샀어요. 사이즈는 정사이즈 선택하면 될것같구요. 포장도 상품도 깨끗합니다. 만족해요
1222,5,아주좋아요
1223,5,편하고 박음질도 깔끔해요
1224,5,잘 받았습니다 만족합니다 굿
1225,5,너무 이뻐요할인해서 저렴하게 잘샀어요
1226,5,만족합니다......
1227,5,맥스 검정은 아무 옷이나 툭툭 입기 좋아요.
1228,5,편하고 디자인도 마음에 들어요
1229,5,세일해서저렴하게구입했어요
1230,5,배송 빠르고 만족해요.
1231,5,백화점이랑 가격 차이가 너무 많이 나서 여기서 구입했어요. 상태 깨끗하고 좋아요. 아주 만족합니다.
1232,5,"좋아요 ^^ 딱이네요 ㅋㅋㅋ
배송 박스에 머리카락이있어서.. 좀 그랬지만 제품은 괜찮은 제품으로 온것 같아요"
1233,5,잘 받았습니다 만족합니다 굿 . .^^~
1234,5,마침 딱세일을 해서 저렴하게 구입했어요 하자도 없고 배송도 빠르고 하자가 많은 뎃이 있어서 검수 꼼꼼히해서 보내달라고 했는데 역시~이상없이 잘 와서 선물했어요 발바닥에 검은색 알수 없는 무언가가 묻어 있었는데 지워지는거라 ...누군가가 신어 본건 아니겠지요~신발 너무 이뻐요 230딱 잘 맞아요 매장에서 샀을때 직원분이 말하길 이제품은 늘어나는 재질이 아니라고 하더라구요 사이즈 선택하실때 도움되시길~225~230신어요
1235,5,배송빠르고 저렴하고 좋아요
1236,5,"좋은가격좋은상품 너무마음에듭니다
사이즈딱맞아좋아요ㅎ"
1237,5,할인해서 잘샀어요 이쁘네요 전발볼이 얇은편이라 정사이즈 시켰더니 좋습니다
1238,5,마침 딱세일을 해서 저렴하게 구입했어요 하자도 없고 배송도 빠르고 하자가 많은 뎃이 있어서 검수 꼼꼼히해서 보내달라고 했는데 역시~이상없이 잘 와서 선물했어요 발바닥에 검은색 알수 없는 무언가가 묻어 있었는데 지워지는거라 ...누군가가 신어 본건 아니겠지요~신발 너무 이뻐요 230딱 잘 맞아요 매장에서 샀을때 직원분이 말하길 이제품은 늘어나는 재질이 아니라고 하더라구요 사이즈 선택하실때 도움되시길~225~230신어요
1239,5,배송빠르고 저렴하고 좋아요
1240,5,"좋은가격좋은상품 너무마음에듭니다
사이즈딱맞아좋아요ㅎ"
1241,5,할인해서 잘샀어요 이쁘네요 전발볼이 얇은편이라 정사이즈 시켰더니 좋습니다
1242,5,"좋아요 ^^ 딱이네요 ㅋㅋㅋ
배송 박스에 머리카락이있어서.. 좀 그랬지만 제품은 괜찮은 제품으로 온것 같아요"
1243,5,상품 품질이 좋습니다. 마음에 들어요!
1244,3,그냥 믿고 신어봅니다
1245,3,기대하고 받은 상품인데 신었을때 착용감은 예상외네요
1246,4,고가 높은편인가봐요 좀끼는감이 있어요 신다보면 늘어나서 괜찮을듯해요 디자인 색상 다예뻐요
1247,5,"여성용이라 정사이즈네요
넉넉하게 신으실거면 한사이즈 업하세요
컬러나 디자인은 역시 예쁘네요"
1248,5,배송 빠르고 가격 괜찮은거같고 내게 주는 크리스마스선물로 만족했어요 ㅠㅠ
1249,5,ㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑ
1250,5,배송은 몇일 걸렸지만..원하던 상품 원래가격보다 저렴하게 잘구매했어요~
1251,5,잘 받았습니다 저렴하게 잘 삿어요
1252,5,잘 받았습니다 저렴하게 잘 삿어요
1253,5,배송은 몇일 걸렸지만..원하던 상품 원래가격보다 저렴하게 잘구매했어요~
1254,5,싼가격에 득템했습니다~~
1255,5,저렴하게 좋은 상품 구매했어요
1256,3,배송이조금느리긴하지만백화점이랑동일해서만족합니다
1257,5,예쁘고 튼튼해서 좋아요!
1258,3,ㅇㅇㅇㅇㅇㅇㅇㅇㅇ에
1259,5,"사고싶던건데 드뎌 샀네요
이쁘고 편해요"
1260,5,키도 커보이고 푹신하면서 편해요 너무 좋아요~~
1261,5,빠르고 정확한 배송 감사합니다
1262,5,빠르고 정확한 배송 감사합니다
1263,5,마음에 들어합니다  감사합니다
1264,5,"딸아이 크리스마스 선물로 구입했네요
크리스마스 지나고 받았지만 넘 넘 만족스러워 하네요"
1265,5,키도 커보이고 푹신하면서 편해요 너무 좋아요~~
1266,5,빠르고 정확한 배송 감사합니다
1267,5,빠르고 정확한 배송 감사합니다
1268,5,마음에 들어합니다  감사합니다
1269,5,"딸아이 크리스마스 선물로 구입했네요
크리스마스 지나고 받았지만 넘 넘 만족스러워 하네요"
1270,5,"사고싶던건데 드뎌 샀네요
이쁘고 편해요"
1271,5,나이키 연말 정기세일이라 저렴하게 구매했어요. 커플로 사서 크리스마스 선물 했어요. 깔끔하니 너무 이쁘네요.
1272,5,제가 구매해서 신구 넘이뻐서 추천해서 친한 언니 부탁으루 제 구매 2개 더 한 신발입니다^^
1273,5,멋져요 굿?ㅎㅎㅎㅎㅎㅎ
1274,5,멋져요 굿?ㅎㅎㅎㅎㅎㅎ
1275,5,멋져요 굿?ㅎㅎㅎㅎㅎㅎ
1276,5,와이프 선물로 사줬는데 배송도 빠르고 포장도 잘되어있고 좋아요. 와이프가 굉장히 만족합니다!감사합니다!
1277,5,감사합니다 잘신으께요
1278,3,평소235신는데  이신발은 240이 딱맞아요 발볼이 넓으신분은 한사이즈 업추천드려요 그런데 에어맥스97은 마감상태별로일수록 정품이란말이사실인가봐요...  그리고  신발에 녹물??같은거 묻어있는데 귀찮아서 그냥 신을려구요
1279,5,"260 작아서 재구매 했어요.
나이키 255 신는 남자입니다."
1280,5,깔끔하니아주마음에들어요~~~
1281,4,신발이 오염살짝있었는데 물티슈로 닫으니 지워지더라구요ㅋㅋ20만원짜리 신발인데 좀 허접함?
1282,5,신세계 본점이라 믿고 구매를 했는데 신발 뒷쪽에 이염이 있네요... 선물하는거라 시간도 촉박해서 교환신청 안하고 구매확정 합니다...
1283,5,"정사이즈고 너무이뻐요
예전에는 금방품절되고 구하기힘들었는데 많이만드나봐요"
1284,5,엄마 선물용으로 샀어요. 편하다고 좋아하세요.
1285,5,사고싶었던 신발이였는데 이제구입했네요.짝퉁이라는애기도있길래 일련번호보니 정품맞아용.235신었음 아주편하게 신었을꺼같고 230도 딱맞아용. 발이 짝짝이 인거겠죠?왼쪽은 편한데 오른쪽이 살짝 꽉끼는 기분 신다보면 괜찮겠죠. 키높이도 되고좋네용
1286,5,"정사이즈고 너무이뻐요
예전에는 금방품절되고 구하기힘들었는데 많이만드나봐요"
1287,5,엄마 선물용으로 샀어요. 편하다고 좋아하세요.
1288,5,사고싶었던 신발이였는데 이제구입했네요.짝퉁이라는애기도있길래 일련번호보니 정품맞아용.235신었음 아주편하게 신었을꺼같고 230도 딱맞아용. 발이 짝짝이 인거겠죠?왼쪽은 편한데 오른쪽이 살짝 꽉끼는 기분 신다보면 괜찮겠죠. 키높이도 되고좋네용
1289,5,신세계 본점이라 믿고 구매를 했는데 신발 뒷쪽에 이염이 있네요... 선물하는거라 시간도 촉박해서 교환신청 안하고 구매확정 합니다...
1290,5,평소 구두는 225운동화는 230신는데 이건 35가 맞는거 같아요 바닥이 푹신한 편은 아니에요
1291,5,"아주 이쁩니다. 나이키는 진리죠.
근데 저는 원래 5사이즈(220) 신는데요. 에어맥스97 자체가 좀 작게 나오는거 알고 있고 가격이 말도 안되게 싸서 그냥 230시켰는데 괜찮네요. 굳!!"
1292,5,"아주 이쁩니다. 나이키는 진리죠.
근데 저는 원래 5사이즈(220) 신는데요. 에어맥스97 자체가 좀 작게 나오는거 알고 있고 가격이 말도 안되게 싸서 그냥 230시켰는데 괜찮네요. 굳!!"
1293,5,나이키공식판매처라서 가품인지 의심안하고 사서 좋았어요.발볼넓은 235인데 작게 나왔다고해서 240하니까 딱 맞아요.실제로보니 투박하지않고 귀엽네요집에서 잠깐 착화했는데 푹신하진 않는데 밖에서 걸어봐야알것같아요.
1294,5,"좋아요 .
우먼이라 댓글에서보고 사이즈업 주문했는데 
딱맞네요  작지도않고 크지도않고 .."
1295,5,"커플로 신으려고 두개주문했어요~
이상대로 맘에 들어요 .."
1296,3,신발에 묻어있는게 많더라구요; 본드 마감상태도 좋지않고
1297,5,아주싸게 잘 구매했네요 굿입다
1298,5,행사시 싸게구입했고 기본이라 이뻐요 사이즈는 업해서 주문하니 잘맞네요
1299,5,좋은상품 잘샀어요 !
1300,5,"배송도 빨리왓구요

백화점상품이라 믿고 신어요"
1301,5,정사이즈 딱좋아여
1302,5,사고싶었던 에에맥스  저렴하게  정말  구매  잘했습니다
1303,5,신랑은 매장서 사고 전 gs몰에서 조금더 저렴하게 구매했어요~^^
1304,4,보기보다  가볍네요.  겨울이라  두꺼운  양말을  신고  신었는데도  편합니다.
1305,5,"배송도 빨리왓구요

백화점상품이라 믿고 신어요"
1306,5,상태좋구요 빨리 왓어요
1307,5,이뻐요.저렴하게 산거같아서 더 좋아요
1308,5,디자인은 맘에드는데 신발바닥이 약간미끄러워어요
1309,5,싸게 잘 구매했습니다..좋네요
1310,5,화이트라 마감처리라든지는 조금 완벽하지 않았지만 자세히만 안보면 괜찮아요~~어차피 한번신으면 때가 타니~~그래도 만족합니다~~
1311,5,"사이즈는 정사이즈지만 맥스가 발볼 좁은건 다들 아시죠..? 발볼이 얇으신 분이라면 정사이즈, 발볼이 좀 있으신분들은 한사이즈업하셔도 괜찮을거같아요. 발볼이 아직 좀 불편하지만 이쁘긴 이쁘네요^^"
1312,5,상태좋구요 빨리 왓어요
1313,5,디자인은 맘에드는데 신발바닥이 약간미끄러워어요
1314,5,싸게 잘 구매했습니다..좋네요
1315,5,이뻐요.저렴하게 산거같아서 더 좋아요
1316,5,정사이즈 딱좋아여
1317,5,너무 이쁘고 빨라요 최고!
1318,5,"전에 구매했었는데 한 번 신고 신발세탁후에 쓰레기 돼서 두달여간의 여정을 끝내고 처리하고 새로 구매했어요^_^,,,
절대 신발 세탁방에 나이키같은거나 아끼는 신발은 맡기지맙시다. 여튼 배송 칼같이 빠르게왔고, 상태는 양호한 편이에요. 저번에 샀을 때 보다 더 상태 좋네요!"
1319,5,나이키 다른 건 다 225 신는데 맥스 97은 반업이 편해서 230으로 하니 잘 맞고 좋아요 저렴하게 잘 샀습니다
1320,5,박스가 손상되어 왔어오 하지만 신발 상태는 괜찮아 그냥 신습니다. 발볼 크신 분은 한사이즈 업하세요
1321,5,어머니께서 만족해 하십니다
1322,5,배송도 빠르고 포장도 튼튼하게 해서 왔어요
1323,5,"매장에 없어서 롯데온에서 구입했어요.
쿠폰쓰고 카드할인받아 저렴하게 구입해서 너무 좋아요.
물건은 완전 박스에 비닐포장까지 되어있는 새제품이 배송되었네요."
1324,1,97몇가지 있는데 이신발은 유독 작네요
1325,5,만족합니다 만족합니다
1326,5,너무 마음에 들어요! 추천합니다.
1327,5,좋아요. 나코탭이고 흠잡을데없이 왔네여. 근데 앞코쪽에 시착해본 티가 좀 나는게 반품건 받은것같기도하고 그러네요 흙처럼 묻어있었거든요. 그냥 털고 신었습니다 발볼없는 225인데 230샀더니 큽니다 나이키두꺼운양말신고 커버가능한정도에요. 예쁘고 좋아요 감사합니다
1328,5,"에어맥스97올백 예뻐요
에어맥스97올백 예뻐요 
에어맥스97올백 예뻐요 
에어맥스97올백 예뻐요"
1329,5,"한치수 크게 구입해야 한다고 해서 230-&amp;gt;235 구입
편하다고 하네요. 키높이도 되고 아이가 좋아하니 매우 만족합니다."
1330,5,저렴한 가격에 아이가 좋아하는 운동화를 구입했네요. 감사합니다.
1331,4,ㅁ믿고사는 나이키.굿.
1332,5,예뻐요 발볼넓어서 반사이즈 크게샀는데 잘 맞아요
1333,5,"깨끗한 디자인이라 좋습니다
한치수 크게 살껄하고 후회했네요
두꺼운 양말은 못신겠네요"
