,리뷰,평점
3586,가격이 싸서 궁금해서 시켜봤어요 후기가 별로 없어서 내가 사서저 같이 사기인지 아닌지 확인하고 싶었음 ㅋㅋ배송 10일 걸렸음제품 마감 짭티 나는데 멀리서 보면 잘모름가격생각하면 신을수 있는정도 입니다 혹시나 해서 불끄고 사진 찍어봤는데 스티치 그것도 되있는듯가성비 생각하면 괜찮은거 같고요진품생각하고 사면 후회 할 수도 있습니다막신을 신발로 산거라 10일 기다린 보람은 있음 ㅎ,3
3587,정품이 학실합니다이것저것 비교해 보아도 정품이 학실합니다쿠션감이 전혀없이 나막신처럼 딱딱한거까지 정품과 동일합니다,2
3590,영국에서 온다고 해서 가품 걱정은 없는 대신 느리고 사이즈가 너무 안 맞아서 교환하려고 보니 반품 수수료 5만원 교환 수수료 7만원이 좀 이해가 안 되고 교환하려고 보니 그렇게 공지는 돼 있더군요사이즈는 가이드도 없는데다 교환하려니 사이즈 잘못 선택 경우는 소비자 귀책이라는 어이없음 늘 신는 신발 사이즈를 적용해서 주문 한 것인데 이 신발 자체가 일반 매장에 없어서 신어볼 수도 없는 거잖아요 인터넷 리뷰들을 읽어봐도 정사이즈라는 사람도 있고 크다는 사람도 있고 작다는 사람도 있고 다른 의견들도 참고하기 어려운 경우 아닌지요그리고 사진은 올화이트인데 실물은 민트색 내지는 하늘빛이 감돌고 사이즈만 맞아도 감안할 수 있는 부분입니다만 사이즈 교환이 이렇게 어려울 줄이야 서로 절충해서 덜 부담스럽게 해주면 교환할 것이고 아니면 반품후 재주문으로 해야겠네요빠른 처리 부탁드리겠습니다 세시 네시에 연락 주신대놓고 저렇게 통화 연결을 시도했는데 제대로 되지가 않더라구요,3
3594,이거 짝퉁인가요 쿠션도없고 마감처리도  안좋습니다더 어이없는건 3시간정도 일좀보고 집에와보니 보풀이장난아니게생겨 있내요  사지마세요ㅠㅠ,1
3597,짭인거 알고샀지만 너무 허접스럽네요다시는 안살거에요 ㅋ,1
3598,노란본드가 좀 많이 있음퀄이 좀 떨어집니다,3
3601,완전 짝퉁 허접합니다절대 사지 마시오,1
3602,와 택배 도착하자마자 열어봤는데 짝퉁이라는게 확 느껴지네요 역시 값싸고 좋은건 없어요 이런건 매장가서 직접 눈으로 보고 사야함 반품하려고 했으나 배보다 배꼽이 더 커질것 같아 그냥 구매확정 합니다,1
3603,일단 사진이랑 비슷하게 왔습니다아마도 정품 아닌거 같지만후기에 깔창없다고 하는데 칼창 있구요40제가 받은건41근데 깔창을 벗겨보니 짭 티가 나네요얇고 바닥 색이 다름 ㅋㅋㅋ뒷 부분 얼룩도 살짝있고 뭐,3
3608,가격보다 비싼 운동화입니다 바느질 상태도 마감 상태도 허접합니다운동화 상태가 만들다만것같아요운동화 안쪽은 마감이 전혀 안되어있어요원단이 잘린 그상태로 입니다싼거산  내잘못이다 생각하고 신고 있어요ㅜㅜ 그래도 많이 너무 많이 비싼 느낌이랄까 ㅜㅜ 참고하세요 사이즈는 정사이즈보다 조금 여유있어요,1
3616,짭인지정품인지는 전문가가아니여서 모르겠지만주문한지 10분도 안되서 송장나왔다며 취소안된다해서 그냥 진행했습니다일본아디도 쫌 컷기때문에 신어보고 끈이빠이 쫄라메고걍나왔는데삼실서 발건세상에나 260돈 버렸네요,1
3618,오른쪽만두개혹시나해서 깔창빼봄 확실히 오른쪽 두개   나 오른다리두개인사람,1
3619,본인들이 올린 사진 사이트 아니라 하고요 정사이즈보다 10정도는 더 크게 오고 신발끈도 한쪽은 두껍고 한쪽은 얇고 톡으로 물어？f더니 11번가에 누가 복사 해서 올렸다네요11번가에 문의 하라고,1
3620,발볼은남성 넓은남성 플러스 5 10써있는거믿지마세요 제가 발볼이넓고 다른나이키신발255신는데 이건260보다큰거같아요 그냥단순히 말해서 평소 본인이 신는거보다 한치수작은거주문하면 딱맞습니다 배송은 17일걸렸구요,2
3622,정품대리판매로  알고 구매한 내가 바보인듯정품을 이가격에 파는거 자체가 벌써 말도안됨마감처리 엉망이고 디자인도 조금씩 다름두번다시 구매할 생각없습니다,1
3625,배송은 직구 구매이후가장빨리왔네요 상품은전체적으로 깔끔한편이나 부분적인 마무리가 미흡한곳이있네요신발안쪽에 한번신엇을뿐인데 보플이 심하게일어나네요 ㅠㅠ,2
3627,저는 정품여부는 모르겟고 신발은신을만 합니다,3
3633,한번도 리뷰를 써본적이 없는 사람인데 이건 써야겠네요 Q  A 를 보시면 판매자님의 답글은 거의 복사 붙여넣기 라는걸 알수있습니다 정품이 아니면 100 환불해주겠다는 답글인데요 정품이 아니면 환불하실분들은 구입하지 않는걸 추천드립니다 그냥 택이 없습니다 이것만으로 말다한거지요 그리고 마감부분도 만족스럽지 않습니다 저도 정품이 아니면 취소하고 비싸더라도 정품을 사려고했는데 배송이 오래걸리니 귀찮아져서 싼맛에 신어야겠다는 생각이 들더군요 받아보고 기분 나빠서 리뷰 꼭 써서 알려야겠다는 생각으로 쓰고있는데 이것마저도 귀찮아지고 있네요  제가 귀차니즘이 심해서 이러한 심리를 이용해서 장사하는사람들이 많아지나 봅니다   아무튼 꼭 정품들 구매하시고 즐거운 구매들 하시길 바랍니다,1
3635,짝퉁 맞네요ㅜㅜ에휴신고하고싶네요,1
3638,운동아  불편함  끈  묶는방법이  힘듬  이  운동아의  장점없음  끈묶는데  개고생함,1
3646,배송이 조오오도오오온나 느려요ㅡㅡ 2월 7일날 2개 시켯는데 1개는 최근에오고 1개는 3월달에온다는거 실화여러분 정품 원하시는 분들은 사지마세요 제가 정품으로 다른색이 잇어서  비교해？f는데 일단 정품은 신엇을때 키높이도 잇고 신엇을때 신발을 신은것같은 느낌이 잇은데 여기서 산 신발은 싼가격만큼 신발 높이가 정품보다 낮고 안신은것처럼 가벼운 느낌이고 뒷부분 에어가 꼭 터질것같은 느낌이 없지않아 드네요 아 무엇보다 여기 배송 개쓰레기,1
3648,싼건 싼이유가 있다지만정품에 비해 싼거지 가품에 비하면비싸게 팔아먹는것임가품티 엄청 심하고 구매한 본인이멍청한짓 한것임후회 엄청함,1
3653,배송이 너무 늦어서 왕 짜증이네요,3
3656,우선 해외배송이다보니 교환반품이 어려워 뒤에 얼룩이 묻어있어도 그냥 신으려고합니다 얼룩이 생각보다 심하네요 판매자님 참고바래요 사이즈가 생각보다 큽니다 30구입했는데요 뭔 40같아요 25살껄 후회막심입니다  신발이 작아보이고 그러지않습니다 되려 커보여서 발이 곰발된느낌이네요  워낙싼가격에 산거라 진품가품을 떠나서 작퉁티만 많이 안났으면 합니다,3
3659,제품 2개 구매했는데 하나만 오고 배달완료 뜨는건 뭐죠,1
3660,싼가격에구매하다보니여러가지불편한점이있고특히중국에서배송할때주소는정확하게기재했으면합니다동호수기재하지않아서애먹었어여,3
3662,트리플 블루임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아최악이다 진짜,1
3663,20181218 구매20190114 수령기다린게 아까워서 신고다닙니다마감처리 짝퉁티남 물어보니 정품이라고는 하지만마감이 개그지꼴다시는안삼 피해자안나오길,1
3664,음진품인지 잘 모르겠네요 배송도 느리구요,1
3665,진품인지 의심이 들정도로 별로네요 두번다시는 안사요,1
3667,마감처리  최악배송  24일 걸림사이즈 정사이즈보다 5 10m   크게주문하세요생각보다 별로  반품비 아까워서,1
3669,모든상품 100진품이라고 적혀있는데인터넷에 맥스97 정품 가품 구별법 찾아보니가품인것 같네요진짜로 정품 확실한건가요,1
3670,주문하고 약 20일 정도만에 받은것 같은데요 텍도 없고 에어쪽 마감처리가 지저분합니다 혹시 불량인가요 아니면 중국쪽에서 발송되었던데 이미테이션일까요 직구상품들 보증서는 없어도 텍은 있는데 이 상품은 텍이 없어요,2
3671,나이키가 아니라 나이스네 와 환불 해주나요,1
3675,거의 한달만에 왔네요 상품은 잘 받았어요송장 먼저 등록하시는 바람에 상품 출발도 안했는데 배송완료떠서 식겁했네요,3
3678,배송 한달걸렷네요 기다린시간이 아까워서 기다렷는데 진짜 심해도 너무 심하네요신발은 이쁩니다,3
3686,사이지가 무지 큽니다 255주문 했는데 265는 되것네요 그리 편하지는 않믐니다 신발이 딱딱 하네요 교환 반품 귀찮아 끈 졸라매고 그냥 신음니다,2
3688,성격상 귀찮아서신기는 하는데 뭔가 좀 허술함,3
3689,이게 어떻게 정품입니까나이키 로고 자수가 쭈글쭈글한것도 모자라서양쪽 자수가 완전히 다릅니다ㅡㅡ그리고 신발 오염도 심하고 밑창 색깔은 왜 한쪽은 하얗고한쪽은 노랗습니까나이키가 제품을 이렇게 만드나요근처 나이키 매장가서 확인 한번 해볼까요짝퉁 팔꺼면 퀄리티 있는걸로 팔아서 속이기라도 하던가이걸 지금 100 정품이라고 말하면서 판매하시는겁니까사이즈도 260 주문했는데 270짜리 워커보다도 크고 뭐 하나 제대로된거 없는 제품을 100 정품이라고 판매를 하니 어이가 없네요,1
3690,10일이지났어요  배송중이라는데  맞는건지 얼마나기다려요,2
3691,마감이 깔끔하지 못하고  좀 작아요,3
3694,만족합니다만 한 사이즈 큰걸 신으세요ㅜㅜ,2
3700,배송 너무 느립니다사이즈 작습니다 한두치수는크게 하세요,1
3701,제품잘받앗습니다  포장에좀 신경써주세요 ,3
3702,배송이 느리고 사진보다 약간 달라서 실망임,3
3704,사이즈  250을 주문했는데 이미 포장을 뜯고 신고 보니 255네요  이미 땅을 밟아서 그냥 신기로했는데 사이즈 잘 확인해서 보내주시길 바랍니다,2
3706,정품이 아니죠  마감이 너무나 안좋네요   냄새도 심하고   앞부분 나이키 가죽도 이상합니다,1
3717,이거짝퉁같은데 짝퉁맞죠,1
3721,신발안쪽 깔창부분에서 페인트인지 본드 냄새인지 너무나네요11번가에 문의해봐야겠네요,1
3724,판매자님빠른환불요청위해 리뷰 남겨요가품인건확실하고상품 상태 사진으로 확인하세요환불요청합니다,1
3728,배송 진짜느리네요ㅡㅡ 주문한지 4일 지났는데 아직도 배송준비중이 말이됩니까,1
3733,상품이 포장부터  최악 제품또한  짝뚱 이거 정말너무해요 신발에 택도없어요,1
3739,색상이아주 하얗지는않고 밑에깔짱에도 먼가묻었네요바꾸려고했지만 아들급히 신어야해서 그냥 신어요,3
3745,왜 배송이 중국에서 오는지 11번가는 이상한데요 이유는 모르겠지만  정품인지 모르겠어여 배송이 중국에서 오는지 반품하기 귀찮아서 그냥 써야지,1
3746,왜 배송이 중국에서 오는지 11번가는 이상한데요 이유는 모르겠지만 정품인지 모르겠어여 배송이 중국에서 오는지 반품하기 귀찮아서 그냥 써야지,1
3752,인터넷에 찾아보니 정품 아니네요  믿고산건데 신발 뒤쪽 아래가 정품이랑 달라요 정품은 저곳이 벌어지지않아요 ㅠㅠ,1
3759,마감이 너무 깔끔하지 않네요 착용감도 괜찮고 쿠션감도 나쁘지 않은데 마감이 실밥자국이 여러군데 보이고 발안쪽은 너무 심하게 씹힌 자국마냥 위에서 아래로  일자로 주욱 나있는데너무 심한데요 인터넷 배송 반품이 귀찮아서 그냥 쓰기로 하는데 매장에서 샀다면 반품했을 각입니다,3
3764,이게 신발이니니들은 이신발보고 정품이라 생각하겠니장사를 할려면 똑바로 해라 진짜 어이가 없다,1
3765,개느림 참을성많은사람 주문하세요,1
3777,왜 중국에서 오고 난리세요  절대사지 마세요 사기에요,1
3848,"신발은 매우만족이고 배송  빠른데
Folder매장에서는 
89000원에 5000원할인까지 ㅜㅜ
가격보고 참",2
3873,"박스도 상품 가치 있는건데 박스 찌그러진 거 와서 좀 그렇구요
3개 샀는데 그 하나 반품 한 것 보다 상태 좋은 운동화왔네요",3
3877,사고나니할인하네요ㅠㅠ,2
3973,볼은좁아보여갠찮은디 아래굽이 마치장화굽처럽 촌스러운느낌이네요당장필요해서그냥신을게요,2
4069,그냥신어요 다음엔 안살거같아요,3
4293,"한달도  신지  않아는뎅
벌써  찟어졌어요",3
4457,에어가 터져서 버렸어요,3
4466,정말 이쁘고 최고입니다,1
4492,남편이 발이 불편해 잘신지 않아요,2
4507,"제품을 받았는데 오른쪽 앞부분이 틀리네요
사용엔 지장이 없을꺼 같지만 검수에 신경좀 써주세요
실망입니다",2
4591,그냥 그렇네요 그냥 신을려고 합니다,3
4599,발볼이 너무 좁아요발볼이 넓으신분들은 신고 벗을때도 힘들것같아요,3
4631,"신발 안쪽에 이음새 부분이 있는데상표텍 있는 부분그부분이 좀 불편합니다
생각보다 많이 돌출된느낌이라처음에 몰랐는데상표텍으로 발을 보호하듯 신어야그나마상표텍이 접힌 상태로 신으면신발에 이물질이 있는 느낌이 듭니다
두번째 신을때 접힌 상태라그냥 신어요",2
4704,일이너무바쁘고 개인적인사정도겹쳐서 상품을 열어보지도못하고 기간이지나 자동구매확정으로 넘어갔지만 별로신경쓰지않고 엊그제개봉햇습니다 한쪽신발끈이 잘려있더군요 실망입니다,2
4714,발볼이 딱맞아서 조금 아쉽네요 ㅜㅡㅠ,3
4732,잘신고 다닐듯하네요,1
4788,"리뷰 보고 고민많이하고  샀는데
매장에서 착화하신거 보내주신듯하네요  
바닥부터봤는데 좀 그르네요
검수 꼼꼼히 해서 보내달라고 요청까지 드렸는데",3
4848,"역시나 실밥이 절단되잇고 오염이 잇네오
불량은 아니라니 그냥 신겟지만 기분은 썩",2
4859,누가 신던 신발을 깨끗이 닦아서 받은 느낌 깔창도 그렇고 신발 바닥에 착용 흔적이 많아요 알콜로 왕창 소독해서 신으려구요,1
4863,"선물용으로 구매한건데 겉에 포장이 새 제품처럼 보이게 해서 좋았는데 선물한 분한테 들어보니 약간 크다고 해서 사진찍어 보내달라 하니 텍 안의 사이즈도 다르고 상자 사이즈도 다름
이미 신어 버려서 그냥 구매 확정하고 리뷰를 남기는거지만
선물한 분한테도 당황 스럽고 저도 어이없네요
하자면 하자지 225사이즈를 구매했는데 상품은 230이라니
물건을 사서 뜯어서 줄순 없으니 선물용 구매는 이제 그만할듯 합니다",1
4912,가격대비 별로예요 실물보고 살걸 후회해요,3
4916,마감처리가 좀 어색하네요,3
4988,평소235신는데  이신발은 240이 딱맞아요 발볼이 넓으신분은 한사이즈 업추천드려요 그런데 에어맥스97은 마감상태별로일수록 정품이란말이사실인가봐요  그리고  신발에 녹물같은거 묻어있는데 귀찮아서 그냥 신을려구요,3
5006,신발에 묻어있는게 많더라구요 본드 마감상태도 좋지않고,3
5034,97몇가지 있는데 이신발은 유독 작네요,1
5084,반품된 것을 저한테 다시 보낸걸까요얼룩에 실밥에 본드에 마감도 별로네요귀찮아서 반품은 안하지만 현대백화점 믿고 구매했는데 실망스럽네요,1
5105,생각보다 편하지않아요,3
5124,정품인지모르겠네요 발가락쪽에봉제가잘못되거리적거리는게있어교환했는데 2번째온신발은패인트인지뭐가묻어서잘지워지지도않아 아세톤으로지웠어요반품교환귀찮아서그냥신어요,3
5126,정말너무성의없이만드는것같네요,3
5157,"신발에 본드마무리 안되서 지저분하고
배송은 엉망입니다박스가 찌그러져서 왔어요",3
5172,물건못받아서 반품했고 상담사분께서 반품비 6000원 제외하고 환불해주신다고 했는데 왜 8000원 제왼한 금액만 환불된건가요,1
5189,"우선 신발 마무리가 이정도 가격의 나이키 정품이 맞나 의심스러울 정도로 허술함첨부한 사진 참조
한번 반품하고 재구매한거라 지쳐서 포기하고 그냥 구매하지만 온라인쇼핑에 대한 불신추가 코로나야 빨리 좀
장점은 에어쿠션이 좋고 키높이 효과는 있지만 무겁진 않음 단점은 아웃솔 돌기 때문인지 비올때 미끌림 심해서 위험함
한치수 큰걸 사라는 의견도 있는데 나는 칼발이라 정사이즈 샀는데  정말 볼이 좁군 하다가 처음 신을때만 그렇고  오히려 뒤축이 각이 없어서인지 훌렁거림한치수  큰걸 샀다간 낭패볼뻔참고하세요",2
5202,정품은 맞겠죠 처음 배송 받은건 앞코가 완전 짝짝이에 밑창 느낌도 이상해서 교환했어요 100프로 만족은 아니지만 다음엔 매장가서 사야겠어요 나이키는 품질이 자꾸 떨어지네요,3
5329,"나이키 운동화 보통 240 신는 칼발인데 발볼 작게 나왔다고해서 반사이즈 업해서 245 로 주문 했어요
저한테는 크네요 ㅜㅜ
저는 정사이즈가 맞아요
반품하려다 그냥 신기로 했어요",3
5401,"박스가 찌그러지고 찢어져서 온것도 별로였는데
제품 마감보니 이거 정품 맞나 싶어서 찾아보니
나이키 자체가 마감이 조잡하자고 하네요
실망했지만 그냥 신어요
신발이 편하고 좋은신발은 아니구 그냥 원했던 제품이라 그냥 신어요
반업했어요",3
5409,"사이즈가 생각보다 작게 나와서 한사이즈 업했어요
근데 잘 안신게 되요 ㅜㅜ왜냐면 그 발등 신발끈 묶는 왼쪽발 오른쪽부분이 자꾸 살에 쓸려서 신은 첫날 피봤어요 ㅠ이건 싸구려 신발만 이러던데 정품이 아닌가 의심도 가여 ㅜㅠ",3
5440,바닥에 약간의 물기만 있으도미끄러워서 걷기 불편할 정도예요 비오는 날이나 눈오는 날은 못신을듯  무슨 운동화가 이런지 바닥창 불량 아닌가요 ㅜㅜ,3
5452,"정품이 맞나 의구심이 들정도로
마무리가 엉망이네요",1
5475,병행수입인가요  정품맞겠죠,3
5484,칭찬글이많아서구매했는데 생각보다무거워서걷는데다리가많이힘들어요새신발이라서그런건지익숙해질때까지는기다려봐야겠어요,3
5509,"백화점에서 오는 제품이라 괜찮을 줄 알았는데 오른쪽 에어있는 밑창부분이 지저분한 걸로 왔네요 지워지지도 않고
하얀 운동화라 작은 흠같은게 있어도 티가 많이 나지만 이건 좀
그래도 신다보면 어차피 더러워질 부분이니 감안하고 그냥 교환 안하고 신기로 했어요
세일가 적용한 상품이라도 검수 잘 확인해서 보내주시면 좋겠네요",3
5544,"백화점서 본상품과 번호는 같은데 색상이 좀다르네요
그래두 이뻐서 괜차나요",3
5545,그럭저럭 신고 다닐려고요,3
5589,휴싼 가격이긴 하지만 기대하고 있었는데 얼룩덜룩한 이염이며 깔창 상태 등 가품같은 마감처리에 화가 나네요이 정도면 가품이라고 해도 믿겠어요 ㅜㅜ 원래 나이키 자체가 마감이 별로라고는 하지만 매장 상품이라 사람들이 많이 신었던 제품인가봐요 반품하려다가 그냥 신어요제품 자체는 가볍고 디자인도 예쁘고 좋아요 하지만 정가격에 매장 가서 직접 보시고 사시는 걸 추천 드립니다,2
5606,뒤꿈치 고무부분에 파란색이 점이 찍혀있네요,2
5692,신발주위에 이물질들조금있음 설물용인디 ㅠㅠ,3
5694,"gs샵의 빠른대처로 3점입니다
 아니였음 별 1개도 아깝네요
 저 역시 디피상품인지 누가신던걸 준건지 상태가 매우 불량한 제품을 받았었네요
 두번째로 받아 본 상품도 아주 약간의 오염은 있었지만 전에 받아 본 것보단 양호했습니다
 알아보니 이 상품 자체가 말이 많더군요
 공홈에서 파는것 조차 후기를 보니 개판이더라구요
 제조 과정 개선이 필요 해 보이는 신발입니다
 동생이 신고 싶다하여 선물로 줬지만 다신 구매 안 할 신발입니다
 참고로 사진과는 다르게 민트빛이 약간 돌고 미드솔이 누런 색상입니다 트리플화이트라고 부르기 조금 애매한 색상입니다",3
5696,좌우 안쪽 로고박힌 부분의 면적차이가 너무 큽니다 공홈구입아니면 가품인줄 알겠어요 세일가격이라지만 이건 반품해야할 심각한 하자인듯해서 아쉽습니다,3
5697,아쉽습니다,3
5718,"백화점 상품이라 믿고 구입했는데 실망입니다
가격이 저렴한 것도 아니고 나이키라는 브랜드 있는 상품의 끝마무리가 너무 엉성해서 실망입이다
배송은 빨라 주문하고 몇일 안돼 받았는데 흰색 신발에 여기저기 이물질이 묻어 교환하고 다시 받았습니다
이전 것 보단 낫지만 교환 받은 제품도 신발끈에 접착제가 묻어 끈적거리고 뒷부분 고리도 약간 사선으로 부착 신발 옆엔 얼룩 또 교환할 수 없어 그냥 구매확정 합니다
백화점에서 검수도 안받고 물류센터에서 바로 배송되는 상품에 어떻게 롯데백화점 본점 상품이라는 상품설명이 있는지 납득이 안갑니다",1
5719,"본드자국이 있는데이게 정품인가요
바꾸기도 귀찮은데 일부러 백화점 상품으로 산건데 상당히 기분이 안좋네요",1
5756,"신발안쪽에 모가 페인트같은게 묻어있어요
아이가 모르고 택을 잘라버려서 어쩔수없이
신어요 확인도 안하고보내나봐요",1
5783,"사이즈 업하라고해서 250샀더니 신발은 길어서 벗겨지고 신발폭은 좁아서 아프네요 쿠션감도 없고 이거 어찌 이리 비싼제품이 착용감이 이럴까요
 일반 국내 신발보다 못해요 
나이키 런닝화는 편해서 그런 착용감을 기대했는데 신다보면 폭 늘어날까요  921733100 여성용 맞는데 말이죠 신고 이거 내가 주니어용 샀나 할 정도였어요 ㅠㅠ 그냥 예쁘기만하네요 ㅠㅠㅠㅠ  반품할까 고민하고 신기로 결정했는데 오마이 다른 롯데 잠실점에서는 12만원에 판매하는 상황 속쓰립니다요",2
5819,편하고 다좋으나 운동화  마감처리가 좋지 않아요 실밥이며 박음질부분이 많이 아쉽네요저렴한 가격신발도 아닌데 그냥싣습니다,3
5900,"제품 맘에들고 배송도 빨라요
조금 흠집 이있긴한데 대충신으려고요 
검수 제대로 한것같진않아오",3
5904,제품 수령했는데 반품된 상품인지 밑창이 까맣고 자국도 남아있네요 그냥 신습니다만,3
5938,"오염상품 교환하는데 일주일 넘게 걸려서 받았는데
본드자국있는걸 보내주셨네요
또 교환하면 일주일 걸릴것 같아서 그냥 구매확정합니다
오염으로 교환이면 재발송하실때 다시한번 검수하고 보내주셨으면 합니다",2
5950,"사이즈업하라고들 하셔서 40샀는데 저한테는 크네요
일반 정사이즈 가시는게 나으실듯 합니다
같은 옵션인데 사이즈변경이 백화점 정품이고 백화점 몰인데 안된다니 당황스럽네요 싸게 사서 그냥 신겠지만 어이가 없네요 살면서 사이즈 변경안된다는 사이트는 처음이라 해외직구했는줄 알았네요 해외직구도 배송료부담하면 해주는데 배보다 배꼽이 커서 안하는건데 기분좋게 쇼핑했다 찝찝하게 후기작성하네요",1
5951,"사이즈업하라고들 하셔서 40샀는데 저한테는 크네요
일반 정사이즈 가시는게 나으실듯 합니다
같은 옵션인데 사이즈변경이 백화점 정품이고 백화점 몰인데 안된다니 당황스럽네요 싸게 사서 그냥 신겠지만 어이가 없네요 살면서 사이즈 변경안된다는 사이트는 처음이라 해외직구했는줄 알았네요 해외직구도 배송료부담하면 해주는데 배보다 배꼽이 커서 안하는건데 기분좋게 쇼핑했다 찝찝하게 후기작성하네요",1
5954,"딱이야요
형광흰색입니다",3
5970,"백화점에서 늘 사고 싶었지만 사이즈가 없어 사지못했던 에어97여기서 구입 했네요
근데 가격 대비 마감 처리가 넘 허술해서 망설였어요
약간의 흠짐도 있고반품 하려고 생각했다가 오늘 결정 했어요걍 신기로
20프로 세일에서 산거라  그거로 만족 합니다
색상디자인는 이뻐요",3
6003,딸선물로 해외배송에서샀는데 배송이 무슨 2주넘게 걸려 왕짜증났어요,3
6070,마감이 깔끔하지 않아요ㅠ,2
6076,긴말안할게요 후기랑 상품문의보니까 상태 안좋은것들 배송해주시는것 같길래 걱정되서 저도 상품문의 게시판에까지 따로 남겼는데 그런거 다 소용없나봅니다 상당히 기분상하네요,1
6115,생각보다 무겁고 좁아요,3
6136,상품 마감 확인 후 보내달라고 요청드렸는데상품 받고 사실 좀 실망했습니다사진 외에도 다른 마감도 찍기엔 본드자국이나많기도 하고 택이 떼어져서 온 것을 보고 누군가에게 반품된 물건이 저에게 온 것 같다는느낌이 들어 좀 불편했네요그냥 저렴한 가격에 샀다 생각하려구요담부터는 이런 부분 신경써주셨으면 좋겠어요,2
6137,배송이 빨라요 좋습니다 감사합니다,2
6138,배송빠르고 좋아요,2
6139,실물깡패에요구매를 고민한 시간이 아까웠을 정도로요ㅋㅋㅋㅋ  사이즈 참고하시라고 적으면 저는 발볼없고 실측 236mm에 평소 신발은 정사이즈 기준 240신어요  실착을 해보지 않아서 사이즈 선정에 애먹었는데 안들어가는것보단 낫겠지싶어서 245로 구매했어요그런데 240시켰으면 큰일났을뻔 했네요발볼 쪽이 좁아서 245도 신기 힘들어요  신발 넘 작게 신으면 발 모양 변형오니 가능한 반사이즈 업 하시는게 좋을 것 같네요,2
6140,"상품 마감 확인 후 보내달라고 요청드렸는데
상품 받고 사실 좀 실망했습니다
사진 외에도 다른 마감도 찍기엔 본드자국이나
많기도 하고 택이 떼어져서 온 것을 보고 
누군가에게 반품된 물건이 저에게 온 것 같다는
느낌이 들어 좀 불편했네요
그냥 저렴한 가격에 샀다 생각하려구요
담부터는 이런 부분 신경써주셨으면 좋겠어요",2
6217,이거 진품 맞나요 박스 파손 새산발에 빨간색 물질 칠해짐 깔창 로고 헤짐 당장전화주세요,1
6224,롯데 본점 배송이네요 발볼이 넓은 편이 아니라면 정사이즈 사세요 225인데 평보고 230 구매했더니 약간 커요 배송 느리고 추가 신발끈은 온라인은 원래 안주나요 매장 나가기 불안해서 온라인 구매했더니 몇가지 맘에 안드네요,3
6227,롯데 본점 배송이네요 발볼이 넓은 편이 아니라면 정사이즈 사세요 225인데 평보고 230 구매했더니 약간 커요 배송 느리고 추가 신발끈은 온라인은 원래 안주나요 매장 나가기 불안해서 온라인 구매했더니 몇가지 맘에 안드네요,3
6229,롯데 본점 배송이네요 발볼이 넓은 편이 아니라면 정사이즈 사세요 225인데 평보고 230 구매했더니 약간 커요 배송 느리고 추가 신발끈은 온라인은 원래 안주나요 매장 나가기 불안해서 온라인 구매했더니 몇가지 맘에 안드네요,3
6235,대학때 즐겨신던기억에 다시사려고 다른사이트서 보다가 여기가 카드할인되서 샀는데 배송은 빠르게 받았구요 물건이 좀 고민하게만들었네요누가 반품한건지 군데군데 때가많이 타있고  신발마감도 지저분하고 젤고민했던부분은 오른쪽옆  고무부분이 벗겨져일어나 교환할까하고 엄청고민하다가 교환귀찮아 걍신어요,3
6292,배송이 최악이네요 포장박스 찌그러지고 터졌는데 저 상태로 가져다 주셨네 안에 내용물이 이상이 없으니 다행인데 배송 신경을 좀 많이 쓰셔야겠어요 제품 이상없고 사이즈 좋아요 나이키 공홈 매장에서 사도 마감처리 미흡한건 비슷해요 나이키가 배가 불러 전과 같이 품질관리를 하지 않는게 문제,2
6349,사고 싶었던 거라 받아서 좋았는데 운동화 한쪽 면에 페인트 하얗게 선처럼 묻어 있는데 같은 흰색이라 그냥 신어도 띠 안 날꺼 같아서 그냥 신으려는데 운동화 끈이 불량이 왔네요ㅠㅠ 워낙 주문양이 많은 건지 검수가 제대로 이뤄지지 않는 거 같아요 교환 신청하면 가질러 와야 하고 송장 받아야 하고 여러 가지 번거로워 그냥 신기로 했습니다 끈만 받을 수 있는지 문의 전화 콜센터로 했지만 코로나로 연결이 어렵고 문의들 남겨 하루 만에 답변은 끈만 어렵다고 반품이나 교환만 전체적으로 가능하다고 이 모든 절차들이 번거롭고 귀찮네요 제대로 한번에 좋은 상품을 받았으면 하는 아쉬움은 있지만 그냥 신겠습니다,1
6352,사고 싶었던 거라 받아서 좋았는데 운동화 한쪽 면에 페인트 하얗게 선처럼 묻어 있는데 같은 흰색이라 그냥 신어도 띠 안 날꺼 같아서 그냥 신으려는데 운동화 끈이 불량이 왔네요ㅠㅠ 워낙 주문양이 많은 건지 검수가 제대로 이뤄지지 않는 거 같아요 교환 신청하면 가질러 와야 하고 송장 받아야 하고 여러 가지 번거로워 그냥 신기로 했습니다 끈만 받을 수 있는지 문의 전화 콜센터로 했지만 코로나로 연결이 어렵고 문의들 남겨 하루 만에 답변은 끈만 어렵다고 반품이나 교환만 전체적으로 가능하다고 이 모든 절차들이 번거롭고 귀찮네요 제대로 한번에 좋은 상품을 받았으면 하는 아쉬움은 있지만 그냥 신겠습니다,1
6383,한사이즈크게시켰는데도 발볼이좁게나온제품은 맞는거같아요잘신을께요오륵쪽새끼발만조금불변하네요,3
6384,한사이즈크게시켰는데도 발볼이좁게나온제품은 맞는거같아요잘신을께요오륵쪽새끼발만조금불변하네요,3
